MOVIE_ID|GENRE_ID
512|2
512|1
512|4
513|1
513|7
513|5
514|1
514|2
514|7
515|8
515|9
515|11
515|2
516|11
516|12
517|9
517|11
517|17
517|12
518|13
518|14
518|7
519|1
519|2
519|11
519|9
520|7
520|5
521|11
522|11
522|6
523|11
523|9
524|1
524|2
524|7
525|11
525|6
525|15
526|8
526|1
526|11
526|9
527|6
528|11
528|5
529|6
529|1
529|15
529|7
530|1
530|6
530|16
531|1
531|11
531|7
531|12
532|11
532|1
532|2
533|11
534|8
534|11
534|9
534|3
535|1
535|11
535|5
535|12
536|1
536|2
536|6
536|12
537|6
537|15
537|12
538|3
538|1
538|6
539|14
539|6
539|7
539|5
540|8
540|1
540|4
540|9
540|2
541|1
541|2
541|11
541|7
542|1
542|16
542|4
543|1
543|6
543|13
543|4
543|7
544|2
544|3
544|8
544|1
544|11
545|1
545|2
545|6
545|7
546|4
546|7
546|6
547|9
547|8
547|2
547|11
548|1
548|3
548|7
549|5
549|14
550|4
551|9
551|8
552|12
552|11
552|2
553|11
553|6
554|7
554|1
554|6
555|11
556|11
556|9
556|12
556|3
557|1
557|6
557|15
557|16
558|6
558|16
559|8
559|11
559|9
560|6
560|12
561|1
562|2
562|6
562|9
563|6
563|14
563|7
564|11
564|9
564|3
565|6
565|7
565|4
565|14
566|2
566|8
566|11
566|9
566|3
567|8
567|2
567|11
567|9
568|11
568|12
569|1
569|2
569|7
570|8
570|2
570|11
570|9
571|1
571|7
572|6
572|1
572|7
572|16
573|2
573|3
573|11
573|9
574|1
574|7
575|1
575|7
575|5
576|6
576|14
576|12
576|4
576|7
577|6
577|7
577|3
577|14
578|2
578|4
578|1
579|11
579|9
579|8
579|3
579|17
580|1
580|15
580|16
581|1
581|7
582|4
582|1
582|2
582|7
583|1
583|4
584|2
584|3
584|6
585|3
586|6
586|16
587|16
587|6
587|15
587|1
588|2
588|1
588|7
588|4
589|6
589|5
590|13
590|1
590|6
590|3
590|16
591|6
591|1
591|7
591|5
